バージョン,タイトル,ジャンル,アーティスト,プレー回数,NORMAL 難易度,NORMAL EXスコア,NORMAL PGreat,NORMAL Great,NORMAL ミスカウント,NORMAL クリアタイプ,NORMAL DJ LEVEL,HYPER 難易度,HYPER EXスコア,HYPER PGreat,HYPER Great,HYPER ミスカウント,HYPER クリアタイプ,HYPER DJ LEVEL,ANOTHER 難易度,ANOTHER EXスコア,ANOTHER PGreat,ANOTHER Great,ANOTHER ミスカウント,ANOTHER クリアタイプ,ANOTHER DJ LEVEL,最終プレー日時
1st&substream,22DUNK,TECHNO,SLAKE,0,3,0,0,0,---,ASSIST CLEAR,---,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,2016-10-26 17:45
1st&substream,BRILLIANT 2U,EURO GROOVE,NAOKI,0,3,0,0,0,---,ASSIST CLEAR,---,4,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,2016-10-26 17:45
1st&substream,deep in you,DANCE POP,dj nagureo,0,3,0,0,0,---,ASSIST CLEAR,---,3,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,2016-10-26 17:45
1st&substream,Dr.LOVE,DANCE POP,baby weapon feat.Asuka.M,0,2,0,0,0,---,NO PLAY,---,3,0,0,0,---,ASSIST CLEAR,---,3,0,0,0,---,NO PLAY,---,2016-10-26 17:45
1st&substream,GENOM SCREAMS,TRANCE,L.E.D. LIGHT,0,3,0,0,0,---,ASSIST CLEAR,---,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,2016-10-26 17:45
1st&substream,Macho Gang,TRIBAL HOUSE,ANAL SPYDER,2,2,0,0,0,---,ASSIST CLEAR,---,7,0,0,0,---,NO PLAY,---,10,951,348,255,94,EASY CLEAR,B,2017-08-14 22:51
1st&substream,RUGGED ASH,FUTURE JAZZ,SYMPHONIC DEFOGGERS,0,2,0,0,0,---,ASSIST CLEAR,---,3,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,2016-10-26 17:45
1st&substream,THE EARTH LIGHT,TRANCE,L.E.D. LIGHT,0,4,0,0,0,---,FAILED,---,7,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,2016-10-26 17:45
2nd style,Dancin' Into The Night,DISCO,good-cool,0,2,0,0,0,---,ASSIST CLEAR,---,3,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2016-10-26 17:45
2nd style,Digital MinD(A/T Libra mix),MINIMAL,TaQ,0,3,0,0,0,---,FAILED,---,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,2016-10-26 17:45
2nd style,Indigo Vision(full flavour hide around mix),GOA TRANCE,TaQ,0,3,0,0,0,---,ASSIST CLEAR,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,2016-10-26 17:45
2nd style,SP-TRIP MACHINE(for beatmania II),JUNGLE,dj TAKA feat. DE-SIRE,0,3,0,0,0,---,ASSIST CLEAR,---,4,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,2016-10-26 17:45
3rd style,era (nostalmix),DRUM'N'BASS,TaQ,0,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,9,0,0,0,---,ASSIST CLEAR,---,2016-10-26 17:45
3rd style,LEADING CYBER,DIGI-ROCK,dj TAKA,0,4,0,0,0,---,FAILED,---,6,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,2016-10-26 17:45
3rd style,Presto,PIANO AMBIENT,Osamu Kubota,0,3,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,2016-10-26 17:45
3rd style,R5,RAVE,tigerYAMATO with ultrabeatbox,7,5,0,0,0,---,NO PLAY,---,8,999,439,121,5,EX HARD CLEAR,AA,11,1228,516,196,62,EASY CLEAR,A,2017-09-19 22:20
3rd style,Tangerine Stream,AMBIENT,dj TAKA,0,1,0,0,0,---,FAILED,---,2,0,0,0,---,CLEAR,---,0,0,0,0,---,NO PLAY,---,2016-10-26 17:45
3rd style,THE SAFARI,WORLD HOUSE,Lion Musashi,49,7,0,0,0,---,ASSIST CLEAR,---,10,1169,459,251,77,EASY CLEAR,B,0,0,0,0,---,NO PLAY,---,2017-09-18 21:01
4th style,B4U,SPEED RAVE,NAOKI,8,5,0,0,0,---,HARD CLEAR,---,9,960,365,230,41,EASY CLEAR,B,10,1327,491,345,40,HARD CLEAR,B,2017-10-05 20:11
4th style,CHECKING YOU OUT,HIP HOP,good-cool feat. JP Miles,3,7,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,894,351,192,71,ASSIST CLEAR,B,2017-10-21 19:05
4th style,empathy,DRUM'N'BASS,TaQ,0,5,0,0,0,---,ASSIST CLEAR,---,7,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,2016-10-26 17:45
4th style,FLOWERS for ALBION,AMBIENT,dj TAKA,0,2,0,0,0,---,CLEAR,---,5,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2016-10-26 17:45
4th style,HIGHER,DANCE POP,NM feat. Sunny,0,3,0,0,0,---,ASSIST CLEAR,---,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,2016-10-26 17:45
4th style,Hitch Hiker2,WARP HOUSE,good-cool,0,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,7,0,0,0,---,EASY CLEAR,---,2016-10-26 17:45
4th style,minimalian,MINIMAL,DETROIAN,0,3,0,0,0,---,ASSIST CLEAR,---,8,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,2016-10-26 17:45
4th style,Nasty!,DANCE POP,Baby Weapon feat.Asuka M,0,3,0,0,0,---,ASSIST CLEAR,---,4,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,2016-10-26 17:45
4th style,starmine,HAPPY HARDCORE,Ryu☆,0,5,0,0,0,---,ASSIST CLEAR,---,8,0,0,0,---,ASSIST CLEAR,---,9,0,0,0,---,FAILED,---,2016-10-26 17:45
5th style,Abyss,INTELLIGENCE,dj TAKA,0,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,8,0,0,0,---,FAILED,---,2016-10-26 17:45
5th style,QQQ,TECHNO,TaQ,1,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,1563,579,405,36,EASY CLEAR,A,2017-06-10 19:55
5th style,V,PROGRESSIVE,TAKA,6,5,0,0,0,---,HARD CLEAR,---,10,1878,762,354,52,CLEAR,A,12,0,0,0,---,NO PLAY,---,2017-10-18 20:47
6th style,Colors (radio edit),TRANCE,dj TAKA,0,6,0,0,0,---,ASSIST CLEAR,---,9,0,0,0,---,ASSIST CLEAR,---,12,0,0,0,---,NO PLAY,---,2016-10-26 17:45
6th style,fly through the night,TRANCE,Mr.T,0,4,0,0,0,---,ASSIST CLEAR,---,7,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,2016-10-26 17:45
6th style,SOMETHING WONDERFUL,EPIC TRANCE,L.E.D.,2,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,ASSIST CLEAR,---,10,1163,445,273,57,EASY CLEAR,B,2017-08-20 20:02
7th style,A,RENAISSANCE,D.J.Amuro,4,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,1639,691,257,107,ASSIST CLEAR,B,2017-10-17 00:03
7th style,Burning Heat! (Full Option Mix),12 BEAT,Mr.T with Motoaki.F,0,3,0,0,0,---,ASSIST CLEAR,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,2016-10-26 17:45
7th style,Cheer Train,BIG BEAT,Fuzita Blender,0,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,ASSIST CLEAR,---,2016-10-26 17:45
7th style,ZERO-ONE,ELECTROSHOCK,Mr.T,0,5,0,0,0,---,ASSIST CLEAR,---,9,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,2016-10-26 17:45
8th style,airflow,INSTRUMENTAL,Mr.T,0,3,0,0,0,---,ASSIST CLEAR,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,2016-10-26 17:45
8th style,Attitude,TRANCE,Y&Co.,0,5,0,0,0,---,ASSIST CLEAR,---,8,0,0,0,---,FAILED,---,9,0,0,0,---,NO PLAY,---,2016-10-26 17:45
8th style,bit mania,テクノ歌謡,AKIRA YAMAOKA,0,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,EASY CLEAR,---,2016-10-26 17:45
8th style,Colors -Y&Co. Eurobeat Remix-,EUROBEAT,dj TAKA (remixed by 横田商会),3,5,0,0,0,---,ASSIST CLEAR,---,9,0,0,0,---,ASSIST CLEAR,---,10,1450,579,292,32,EASY CLEAR,B,2017-09-24 19:09
8th style,Halfway of promise,GIRL ROCK,Yu Takami feat. Shihori Nakane,0,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,FAILED,---,11,0,0,0,---,NO PLAY,---,2016-10-26 17:45
8th style,Monkey Dance,EUROBEAT,Y&Co.,0,4,0,0,0,---,CLEAR,---,7,0,0,0,---,NO PLAY,---,9,0,0,0,---,ASSIST CLEAR,---,2016-10-26 17:45
8th style,rainbow flyer,TRANCE,dj TAKA,1,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,1042,368,306,119,FAILED,C,2017-02-05 13:17
8th style,World Wide Love,POPS,MTO,0,3,0,0,0,---,ASSIST CLEAR,---,5,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,2016-10-26 17:45
8th style,xenon,ELECTROSHOCK,Mr.T,0,5,0,0,0,---,ASSIST CLEAR,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,NO PLAY,---,2016-10-26 17:45
